,geo_id,Unnamed: 0,demographics.P_ENGLISH,demographics.P_NON_ENGLISH,demographics.P_AGE_LT5,demographics.P_AGE_LT18,demographics.P_AGE_GT17,demographics.P_AGE_GT64,demographics.P_HLI_OTHER_LI,demographics.P_LOWINC,demographics.PCT_MINORITY,demographics.P_EDU_LTHS,demographics.P_LIMITED_ENG_HH,demographics.P_EMP_STAT_UNEMPLOYED,demographics.P_DISABILITY,demographics.P_MALES,demographics.P_FEMALES,demographics.LIFEEXP,demographics.PER_CAP_INC,demographics.HSHOLDS,demographics.P_OWN_OCCUPIED,main.RAW_D_PEOPCOLOR,main.RAW_D_INCOME,main.RAW_D_UNDER5,main.RAW_D_OVER64,main.RAW_D_UNEMPLOYED,main.RAW_D_LIFEEXP,main.RAW_E_DIESEL,main.RAW_E_CANCER,main.RAW_E_TRAFFIC,main.RAW_E_O3,main.RAW_E_PM25,main.RAW_E_RSEI_AIR,main.stateAbbr,main.stateName,main.totalPop,main.NUM_AIRPOLL,main.NUM_BROWNFIELD,main.NUM_HOSPITAL,main.statLayerCount,main.statLayerZeroPopCount,main.weightLayerCount,main.distance,main.unit,main.areatype,main.statlevel,main.placename,extras.RAW_HI_LIFEEXPPCT,extras.RAW_HI_ASTHMA,extras.RAW_HI_DISABILITYPCT,extras.RAW_CG_NOHINCPCT,extras.RAW_CI_FLOOD,extras.RAW_CI_FLOOD30,extras.RAW_CI_FIRE,extras.RAW_CI_FIRE30
13,17031711500.0,13,99,1,2,21,79,20,0,45,100,13,1.0,13,21,49,51,74,21587,871,72,100%,45%,2%,20%,13%,24%,0.539,30.0,200.0,65.9,10.2,6500.0,IL,ILLINOIS,2685.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",24%,12.5,20.5%,4%,23%,24%,0%,0%
14,17031251500.0,14,88,12,6,22,78,13,0,57,97,26,4.0,27,24,51,49,72,16616,1299,34,97%,57%,6%,13%,27%,26%,0.547,30.0,120.0,65.6,10.1,9600.0,IL,ILLINOIS,4305.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",26%,14.1,22.6%,10%,5%,5%,0%,0%
15,17031140301.0,15,14,86,5,19,81,9,0,48,91,44,31.0,8,10,55,45,0,21930,906,29,91%,48%,5%,9%,8%,,0.508,20.0,370.0,66.4,9.74,7900.0,IL,ILLINOIS,2983.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",,8.5,9.2%,34%,1%,1%,0%,0%
16,17031630300.0,16,11,89,7,20,80,13,0,44,94,34,23.0,11,9,53,47,80,20332,1431,48,94%,44%,7%,13%,11%,18%,0.529,30.0,180.0,65.5,10.3,14000.0,IL,ILLINOIS,5193.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",18%,8.5,8%,18%,12%,12%,0%,0%
17,17031980100.0,17,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,IL,ILLINOIS,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",,,,,,,,
18,17031829700.0,18,91,9,5,28,72,13,100,47,73,12,1.0,7,18,53,47,76,21143,1015,65,73%,47%,5%,13%,7%,23%,0.317,20.0,57.0,64.1,9.93,3600.0,IL,ILLINOIS,3033.0,42.0,9.0,0.0,3.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Cook County, IL",23%,11.7,17%,8%,25%,27%,0%,0%
19,17031520500.0,19,31,69,13,30,70,12,0,29,82,25,8.0,4,8,49,51,78,29032,1520,81,82%,29%,13%,12%,4%,19%,0.477,20.0,59.0,66.1,10.0,6100.0,IL,ILLINOIS,5264.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",19%,9.1,6.7%,5%,10%,11%,15%,100%
20,17031813301.0,20,10,90,10,38,62,5,0,59,95,23,23.0,1,5,44,56,78,18684,982,41,95%,59%,10%,5%,1%,20%,0.601,30.0,93.0,65.4,10.2,12000.0,IL,ILLINOIS,3627.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Cicero, IL",20%,10.0,4.8%,29%,6%,7%,0%,0%
21,17031190300.0,21,20,80,5,18,82,13,0,26,69,33,29.0,4,8,48,52,80,27037,1915,51,69%,26%,5%,13%,4%,18%,0.495,30.0,130.0,65.7,9.97,8300.0,IL,ILLINOIS,5725.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",18%,9.2,7.7%,17%,3%,4%,0%,0%
22,17031100300.0,22,73,27,3,19,81,32,0,18,20,8,6.0,1,18,45,55,80,47819,2750,63,20%,18%,3%,32%,1%,18%,0.49,30.0,480.0,65.9,9.81,7300.0,IL,ILLINOIS,6393.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",18%,8.4,17.8%,4%,9%,10%,0%,0%
